_id,applicant_id_token,age_band,ip_anonymised,email_hash,spending_behavior,processing_timestamp,applicant_info.gender,applicant_info.zip_code,financials.annual_income,financials.credit_history_months,financials.debt_to_income,financials.savings_balance,decision.loan_approved,decision.rejection_reason,loan_purpose,decision.interest_rate,decision.approved_amount,ssn_is_duplicate
app_011,31e4b7c1bfbeee64a8ca3079e22ac244199e8997c3a40fc4150202519c88b88b,30-34,10.244.191.0,a20ebbb0422c0c5d81fbb8d638a6b3b9d3afb9df5c498b5f975e6b445eeee88a,"[{'category': 'Entertainment', 'amount': 209}, {'category': 'Fitness', 'amount': 648}]",,Female,90205.0,89000.0,5.0,0.31,24246.0,False,algorithm_risk_score,,,,False
app_012,73f40448761d6fc1488099a9f4d11baddd8c86b12b0e294c9801a392431e1b5a,50-54,172.19.203.0,0b15724b1bc28f21d49895f7504a440bc251f0c315b32aceb6e3c57c51990cae,"[{'category': 'Rent', 'amount': 567}, {'category': 'Shopping', 'amount': 408}]",,Female,90220.0,96000.0,71.0,0.22,38284.0,False,algorithm_risk_score,,,,False
app_013,b135dc6b8be828c6e55e69ea83b04d5d1851995e0025f744094f9010c62a8455,35-39,172.21.115.0,49b298b7c85d9173fa6dc80ab62a8eb53a7cbb92c722e4f38f3cbdf02bd250fb,"[{'category': 'Education', 'amount': 335}]",,Female,90218.0,57000.0,18.0,0.45,28706.0,True,,,3.9,70000.0,False
app_014,64fd0ee4ba74cfea156e1f0e7ddf9267597750585ee87c514b95d03461acf238,30-34,192.168.120.0,14abc64fcc15bd8d13c209e0f72ba29b518d2ca4695d9b7931ea2d3ad718f37a,"[{'category': 'Dining', 'amount': 339}]",,Female,10086.0,112000.0,35.0,0.45,9647.0,False,algorithm_risk_score,,,,False
app_015,a5bb76e195d46adf593f1accc90fa6b09d780bb45dac23e73062102d09910e76,40-44,192.168.244.0,38382d225c660245e5054faaef99db5aa016b503773537a9a5f221e7874a55e0,"[{'category': 'Healthcare', 'amount': 101}, {'category': 'Fitness', 'amount': 698}, {'category': 'Education', 'amount': 470}]",,Male,10061.0,118000.0,96.0,0.4,76692.0,False,algorithm_risk_score,,,,False
app_016,,65-69,192.168.20.0,5c13e8ed0bec71df7a34adb41b578a5761967a2dcb255c33b897af56f9cfe16f,"[{'category': 'Groceries', 'amount': 485}]",,Male,10091.0,123000.0,71.0,0.37,86599.0,False,algorithm_risk_score,,,,True
app_017,469166f532f377237c35c7113cd2c04006ee3fa43b1d54ccd06682bc4df41a6a,30-34,192.168.15.0,c1d436aace6c04d4c67685ed68531ce202ab6cb6f2b79fa21b74630cb9f33f45,"[{'category': 'Entertainment', 'amount': 715}, {'category': 'Transportation', 'amount': 156}, {'category': 'Gambling', 'amount': 125}]",,Female,90282.0,109000.0,60.0,0.15,40059.0,True,,,6.1,55000.0,False
app_018,e5dba019b9e6968c5d0113d9e107a79c289464d5b3536d6c1bd76238bd69e8b8,30-34,192.168.65.0,1f31bb032de6d133dfbd369c8b9cc7931e5a3c6891fd533adaa96a6a35539fe7,"[{'category': 'Rent', 'amount': 723}, {'category': 'Shopping', 'amount': 167}]",,Male,10096.0,64000.0,18.0,0.2,11567.0,False,algorithm_risk_score,,,,False
app_019,8b28d0adec9f6a3670793a2132969929adc8ce572b6979656d5aae82e3179d73,40-44,192.168.10.0,17e2d3fadb84081c70e466e6ef164fe75e7ff01dc8dd06dfa5505b0fb218726d,"[{'category': 'Healthcare', 'amount': 853}, {'category': 'Entertainment', 'amount': 271}]",,Male,10086.0,130000.0,78.0,0.18,23420.0,True,,,6.4,19000.0,False
app_020,f4dbb29e11f57ef178c9d6dd6683457eed33c943eb42ba0476b4d6ae8550913a,45-49,172.19.238.0,242e5be49133894c9eaa6feb2252fa8a19fdc03a7fc9514e39bc99fc87ac6cd7,"[{'category': 'Fitness', 'amount': 98}]",,Female,30014.0,133000.0,55.0,0.38,60268.0,True,,,5.2,23000.0,False
app_021,c1813fe91ef51feff8ba65c798c6287a894e881dbc57504c286dfbc194b0d7ff,40-44,192.168.224.0,381a85cbdeae495e0d4599d95c96eefbd4850103046aa05db68e341a3a12261c,"[{'category': 'Healthcare', 'amount': 513}]",,Female,90234.0,100000.0,96.0,0.11,29386.0,True,,,4.7,40000.0,False
app_022,961f2a8ab2de350263428835031856722a45b8748a6718a696939b99d59d8914,50-54,192.168.34.0,ca0381a542f7d53bbd462b83d3e60fdba3af513012a4c949c494626b64e60313,"[{'category': 'Travel', 'amount': 61}, {'category': 'Utilities', 'amount': 176}]",,Male,10081.0,99000.0,94.0,0.09,43381.0,True,,,2.9,35000.0,False
app_023,7406d8761c5af51bde52ecee56e63d435047491743263856214c9d39664da227,25-29,172.24.122.0,727bd1243736c4e050ec27aee3f8f8ba8d407e01fafb6e2ff05652376819a74b,"[{'category': 'Fitness', 'amount': 555}, {'category': 'Groceries', 'amount': 661}, {'category': 'Utilities', 'amount': 372}]",,Male,10019.0,44000.0,55.0,0.08,27397.0,False,algorithm_risk_score,,,,False
app_024,4c5b9cc108c8a578bd880f58bb9dd96a779450695421e595640268af72ae7858,40-44,192.168.175.0,6fbd2478748a29faa143392f28d955133e346d096739636d8e1d96a152896657,"[{'category': 'Fitness', 'amount': 575}]",,Male,10077.0,103000.0,70.0,0.35,0.0,True,,,4.3,34000.0,False
app_025,73a3fc79a8fb3c45c3b75b94cfb3a6d6a32f7e4624ef0d5d25bf4fe6b088c211,60-64,192.168.166.0,4525739eeaaa14a3e8edef6e835e4c879a078562d6cdba4d4cede8b25d29c278,"[{'category': 'Education', 'amount': 383}]",,Female,90284.0,72000.0,63.0,0.25,33294.0,False,algorithm_risk_score,,,,False
app_026,0e60e52bcb3f5a15e64bd6d72c444691c4dbc5c12d4c626361b33622b4c64721,40-44,10.68.90.0,b803f1f496eeb19ecf946f8eaad968f07e232ea1f5743e8703fbf4bbc5ff1adb,"[{'category': 'Travel', 'amount': 634}, {'category': 'Dining', 'amount': 260}, {'category': 'Groceries', 'amount': 220}]",,Female,90229.0,72000.0,69.0,0.31,34051.0,True,,,3.2,20000.0,False
app_027,cb35f7158e8827ea573d42d66ac4b49635bca2252a216c65ab4f975fd59a4183,30-34,192.168.213.0,f0a4e4f0e538574167de631b1ebf0992ca5dd80feb425ac1bcc58d07ac25a263,"[{'category': 'Groceries', 'amount': 576}]",,Female,90214.0,75000.0,16.0,0.28,31461.0,False,insufficient_credit_history,,,,False
app_028,7202ebcdd3650e68039f76f79039002143db91e60174a83c7026bfe0ee000232,40-44,172.21.129.0,d7ce415cbc1483b8c1e271a3fcd940c602dc872aa2768ba1be5c1f018f8aafc3,"[{'category': 'Fitness', 'amount': 145}]",,Female,10003.0,90000.0,60.0,0.2,38832.0,False,algorithm_risk_score,,,,False
app_029,b343184afdf2f90da70d37d2d252332b1dc848579975816c0bdef7ee89152f81,20-24,172.31.169.0,a04d62b6971b53da861785470dfaaac3f7326623781f1fbc8dbc24c5f0fb2a51,"[{'category': 'Dining', 'amount': 258}]",,Female,10035.0,46000.0,37.0,0.45,23075.0,True,,,3.1,48000.0,False
app_030,d6d1da1dd55e2f4321bff2c6b3ad4ab45de235687d468c7f6c6318c4d66d2dc8,35-39,172.20.144.0,3f70b311c50435db1d01466e47465975cd08cb72145579a17c3a77dbe2238591,"[{'category': 'Healthcare', 'amount': 874}]",,Male,10063.0,72000.0,30.0,0.37,28898.0,False,insufficient_credit_history,,,,False
app_031,c124146081900f4fb208d4e9136cb95c67d1f9c0138f67bfd53b7f6560d515bd,50-54,172.28.35.0,264cff12d739500bc22d165eac2d4bd9d1bb4d876a0a258c0ca7e9edf891b6ec,"[{'category': 'Travel', 'amount': 155}, {'category': 'Insurance', 'amount': 62}, {'category': 'Fitness', 'amount': 320}]",,Male,90258.0,79000.0,83.0,0.36,17700.0,True,,,4.4,51000.0,False
app_032,ef6a0ba2cd118057316f085d73ca77d086804f44a7a84ed08ee015cd2df740fa,40-44,172.26.119.0,9a66848fafae5b86d76f993e5c65bacb395d3d899ece376ab227c6ad0613cb6b,"[{'category': 'Utilities', 'amount': 483}, {'category': 'Shopping', 'amount': 767}, {'category': 'Rent', 'amount': 694}, {'category': 'Adult Entertainment', 'amount': 497}]",,Male,30019.0,124000.0,72.0,0.07,24282.0,True,,,5.5,75000.0,False
app_033,4a21c15ff5298fdfb33052d301bfcf1b5d4e1bfd513a57e98684743946492c82,30-34,192.168.114.0,6233beefeb8d1f15083b042c4c323705b6c8c2ca4fd8b7d56d1948d866886fa7,"[{'category': 'Shopping', 'amount': 185}]",,Female,30047.0,83000.0,73.0,0.1,27950.0,True,,,6.0,51000.0,False
app_034,c93f2de7e6c103b25a51c8d2cb0324bc8c3f9054a52436da600b24522f125e3d,40-44,172.20.137.0,2253882ba369bd2f17044f31db428cee8fe488bea9c13a8fa6673bd1fedc0102,"[{'category': 'Transportation', 'amount': 358}]",,Male,10013.0,88000.0,53.0,0.36,38528.0,True,,,4.0,68000.0,False
app_035,99794a4e758feb9d1196ae5935a6d4b1bfdf6fa5131c613b78ce47f3fde80633,50-54,192.168.199.0,8b7eea0d07f00f837b4b30a0e79dac8656562247bcd9c953d05cd48b2467dfe3,"[{'category': 'Healthcare', 'amount': 372}, {'category': 'Education', 'amount': 711}, {'category': 'Utilities', 'amount': 473}]",,Female,90233.0,81000.0,37.0,0.07,35656.0,True,,,5.3,40000.0,False
app_036,bfe99c3f8bbe68beb91e58806ef81b4d8bf1af168a963a457379a341357e1fca,35-39,10.141.198.0,8951073ff4f692b0114f28687b4319bad8f26eda85a4d7a5287b457e85c09419,"[{'category': 'Dining', 'amount': 723}]",,Female,90227.0,141000.0,18.0,0.4,77318.0,True,,,3.3,49000.0,False
app_037,c94763463c7298b53c3868d6584fa0367643de3394022fa0bba4c57b2be4e9ea,30-34,10.1.102.0,c3522c0b54ef9045c73186bcabb53f8e512360ed17e9cc2dcedbadcf4d61c15a,"[{'category': 'Rent', 'amount': 608}, {'category': 'Dining', 'amount': 96}, {'category': 'Healthcare', 'amount': 243}]",,Male,10032.0,78000.0,51.0,0.18,17915.0,False,algorithm_risk_score,,,,False
app_038,460765ee0a00fc16c04f69267f0c764a69d22891f25d7198091d9aa63d3bcb2f,45-49,192.168.233.0,ab1ca2ff1a82ee6e446984cb2e148e35cbda41d0245ac8683c68d4080c39db5c,"[{'category': 'Healthcare', 'amount': 201}]",,Male,10012.0,125000.0,27.0,0.14,19147.0,True,,,5.5,35000.0,False
app_039,fa4d9bae952e24378466e3af7bf7294fd654fbb70a26596b22763a233d938cdd,45-49,192.168.126.0,93c7e55983dd70674e76e79a41dac65dbe37c1868ffa41ec8a73105f0cacccd0,"[{'category': 'Utilities', 'amount': 513}]",,Male,90249.0,137000.0,73.0,0.29,62951.0,False,algorithm_risk_score,,,,False
app_040,e0d97eac3599c72e96134f02a8b7ceadc3b8ee28e6ea7b5114913fe658290d34,40-44,172.23.184.0,ae4b4b8d350e74292ba2b723501299e0d7764d2d4dcea6cf3be46b865413efa1,"[{'category': 'Entertainment', 'amount': 499}]",,Male,10015.0,90000.0,51.0,0.19,28995.0,False,algorithm_risk_score,,,,False
app_041,a0adb03b47efc5ae70f778972ac1c31f5420b8da77d231eccd48907b8e9d6826,50-54,172.28.24.0,89d5bdac1cb9b989daa50f28a9bfd6b1da8b02cac80f55b1eb7921df516374f7,"[{'category': 'Travel', 'amount': 172}, {'category': 'Dining', 'amount': 419}]",,Female,90205.0,126000.0,76.0,0.06,85166.0,True,,,3.4,45000.0,False
app_042,2331bed184a4244284d351545f8cf5eb3440fc2fe4b7dde9154346d33829672c,35-39,192.168.91.0,a7f7177878859512b05c8a3de55772bfd34459cd3e45f60ede2d80951e4a053e,"[{'category': 'Insurance', 'amount': 153}, {'category': 'Dining', 'amount': 468}]",,Male,10044.0,69000.0,43.0,0.41,15974.0,False,algorithm_risk_score,,,,False
app_043,1f1cfe06501e31ba2b5ca43dcd3dae6a5509081cbe0820978fe3cd4a6af8f776,40-44,10.204.248.0,d1019f29b46223ea496e6784eb6d8481359e208d8515c89322c59c192986ae3f,"[{'category': 'Groceries', 'amount': 398}, {'category': 'Entertainment', 'amount': 464}]",,Male,10038.0,131000.0,,0.06,53098.0,True,,,3.9,68000.0,False
app_044,2b8783b425311ebcf7b487ecbb6ff8895058f94aff54360468e3828452a823e5,30-34,192.168.158.0,014b224294fc73e08d82f42aa9fd2845bfceadc011ad38fb8e57f5103496e92c,"[{'category': 'Fitness', 'amount': 526}]",,Male,10021.0,73000.0,50.0,0.07,19027.0,False,algorithm_risk_score,,,,False
app_045,aaac0ae1cc3fbe03ed748b22171fa4afee3e2743b47a72c1ebb50f97236ff176,60-64,172.16.244.0,f3cec6d48152ae63f65d497b825178948a41a4daee868e90001b0d033dba96a5,"[{'category': 'Dining', 'amount': 390}]",,Female,90237.0,76000.0,82.0,0.21,25982.0,False,algorithm_risk_score,,,,False
app_046,80a4e7e71eec2560bf3497ca09534491486fd493cf71faf89272a24eb2538cf4,45-49,192.168.226.0,a1d8087d1821cac05f9343bd2b50467c33b5c93221ce3b8fff18e212465f6104,"[{'category': 'Transportation', 'amount': 379}, {'category': 'Groceries', 'amount': 156}, {'category': 'Healthcare', 'amount': 585}]",,Female,90231.0,122000.0,44.0,0.29,34688.0,False,algorithm_risk_score,,,,False
app_047,22728956875b018f25bd138c39a81365a3e9eddccc04f9abad83c588cea0aef8,35-39,192.168.202.0,5d21499564dff63c81d764883aed03de79fa8bca1e2e1c7aff6df84ec2eeb4cd,"[{'category': 'Fitness', 'amount': 147}]",,Female,90280.0,101000.0,0.0,0.16,39861.0,True,,,5.6,32000.0,False
app_048,6566dc6b031ab19480b8aef7360529cc307cb008cb2cd74e8c005c4f8910f9ba,40-44,172.18.247.0,13cd29e753bcef07231bd931ef5881913905db78a4c9463453ba4929af69a209,"[{'category': 'Rent', 'amount': 584}]",,Male,10064.0,107000.0,36.0,0.2,30597.0,True,,,5.6,47000.0,False
app_049,79ac7c40661c789a249f17cd3e942367516d07df2901bb4a8d1b121a6b88b340,25-29,192.168.14.0,663ff5ea4162cc015130682c3da155389c2f11e9196227d4d66c09284baf97f4,"[{'category': 'Fitness', 'amount': 444}, {'category': 'Entertainment', 'amount': 848}, {'category': 'Groceries', 'amount': 131}]",,Female,90278.0,59000.0,92.0,0.36,31881.0,False,algorithm_risk_score,,,,False
app_050,150ebf424bf876f472f70ff99c017920ccdedf97d338654211dcd58696a51276,30-34,172.30.31.0,a5725e8577d733ef2403fda65566d182b8f1743a74c3abecba611940e6c67d5c,"[{'category': 'Dining', 'amount': 259}, {'category': 'Travel', 'amount': 260}]",,Female,90267.0,30000.0,49.0,0.06,9588.0,True,,,2.5,48000.0,False
app_051,d17b7cf7e40176b624ba343dba2e1cdc4c43597c93055e8fe766f2277a670417,25-29,172.16.4.0,dd3aa9cf5e907ecf1dc42c1362f1e8959aeabebf4c94c8eb202e229755615abe,"[{'category': 'Dining', 'amount': 251}]",,Male,10060.0,35000.0,77.0,0.2,9646.0,False,low_income,,,,False
app_052,c5d8354a911f50c7804097021c479bdab97c280691f1b83ef0506011fa840d8b,60-64,192.168.174.0,56ab4a4985a335a40b3ab892411b29e177e6dfd38f5bc54a489b5c4f18dde2fa,"[{'category': 'Rent', 'amount': 328}]",,Male,10052.0,91000.0,119.0,0.11,38008.0,True,,,3.0,22000.0,False
app_053,2c3641beac20ee69319bb9222bf58fd3dc3328150149d8a521af546111727c2c,35-39,192.168.186.0,fb4248e3959d53053b58b26b98903fb86dcad198ec55f583965eb7b88a93ea36,"[{'category': 'Insurance', 'amount': 538}]",,Male,10041.0,101000.0,48.0,0.17,52330.0,True,,,5.8,74000.0,False
app_054,a6909b0f719c71434083c79c3d4156eab0fcd3aa2775b2a4f471586383a7df1e,30-34,192.168.146.0,7fa65fbf472ca64fb97ba9392018b2df90d87a9fce0a7cff0da00dda9776b8f0,"[{'category': 'Utilities', 'amount': 566}]",,Male,10043.0,86000.0,16.0,0.26,28260.0,True,,,6.3,61000.0,False
app_055,94a427226fc6dbd5e2b7a2a91d2e7427d6a177f96c95ff375d62aac602a28e6b,45-49,172.28.222.0,e97c5723d7c15c570d85e575a8926e449a529de89c9db8a65da56f466a7e5615,"[{'category': 'Groceries', 'amount': 254}, {'category': 'Utilities', 'amount': 851}, {'category': 'Travel', 'amount': 188}]",,Male,10009.0,104000.0,51.0,0.16,52179.0,True,,,4.3,51000.0,False
app_056,b06da3b9c9737d05f0556da3a81d7cc50e27c0d83957a62455f2aa89f7b45662,45-49,192.168.194.0,319b0e000586582deb79a3f53a66ed5c3df3acb7d164399e977abe105ed772b9,"[{'category': 'Healthcare', 'amount': 306}, {'category': 'Groceries', 'amount': 634}]",,Male,10069.0,99000.0,37.0,0.35,33129.0,False,algorithm_risk_score,,,,False
app_057,7adaec0b71ca76ca5dfdc938b9384fe5276e216c635a85286571aa7db8188a77,35-39,10.30.94.0,66f61146210ded33a889c708c18ebcd0559a7430a32d440ce5077f88bdf66b6f,"[{'category': 'Education', 'amount': 320}, {'category': 'Healthcare', 'amount': 488}]",,Female,90255.0,70000.0,42.0,0.15,38800.0,True,,,2.5,55000.0,False
app_058,a105799517bc27012029dc850c56a5ca99af4abfac09afe053318842f8e3fdd1,55-59,192.168.193.0,c1c3aeb6a7f23564c4a0ec6c27848aa65768ce988db2a82285f4a6b062a7b6be,"[{'category': 'Utilities', 'amount': 504}]",,Male,10067.0,83000.0,114.0,0.35,50490.0,True,,,2.8,61000.0,False
app_059,9bb32d81b04b10d262fd36d0c1df5566abcb6e10410ccfe4adde214083b61bdc,30-34,10.132.239.0,386dd73c248d2942f57087e68c78573df6840e15745f10ce773a042d1d6154e7,"[{'category': 'Rent', 'amount': 234}]",,Male,10029.0,103000.0,50.0,0.3,40581.0,False,algorithm_risk_score,,,,False
app_060,01eeec27c6424c179d5246489c9781c19a30eb7338a075f4bcb602de4c0f3b41,25-29,192.168.170.0,6138cf7c173b0c96699ad4e182850d8d8aa31d9ce762d8a5cbd9087c368ab895,"[{'category': 'Utilities', 'amount': 141}, {'category': 'Healthcare', 'amount': 317}, {'category': 'Transportation', 'amount': 315}]",,Male,10042.0,25000.0,11.0,0.07,12900.0,True,,,3.8,52000.0,False
app_061,1df55becc148bb4d22f86d073b50c2f02d552c00a1796553881d1100dff1409c,40-44,192.168.189.0,027cdf25252034a02368feb0b4c34d23a78d960c101d2f74b0bbab87cfd13b9c,"[{'category': 'Travel', 'amount': 208}, {'category': 'Shopping', 'amount': 650}]",,Male,10073.0,59000.0,54.0,0.27,27425.0,True,,,4.0,28000.0,False
app_062,8f4f2520f775dd32515d88bc4220e8cb4782eeac7e1bfb8dc39f9a5d76c761ba,45-49,10.97.126.0,399d6e0a6e697af3d17512213651ee20f57bab93f1be113a1a3522bfd63581a8,"[{'category': 'Shopping', 'amount': 146}, {'category': 'Entertainment', 'amount': 329}, {'category': 'Groceries', 'amount': 885}]",,Female,90275.0,64000.0,109.0,0.39,34015.0,True,,,3.1,16000.0,False
app_063,f1b8474bd612b817ef5656820351f6200c2f6e463f951e198e973864a97067b6,25-29,172.31.2.0,d3ee72a9c630716773695d0756bac2388af632aa661503f5f684ac3462011c07,"[{'category': 'Shopping', 'amount': 833}, {'category': 'Healthcare', 'amount': 404}]",,Female,90243.0,55000.0,45.0,0.1,14715.0,True,,,4.0,57000.0,False
app_064,28623a1bcee5b1a69253b9a831958e45e03d15b0e62670b163e413e2ecbeaf1d,30-34,192.168.73.0,0295cdaa70530d9a179e5422dfcac41cba978aa33a942763aad005225e70d889,"[{'category': 'Fitness', 'amount': 409}, {'category': 'Shopping', 'amount': 433}]",,Male,10009.0,81000.0,64.0,0.37,40674.0,False,algorithm_risk_score,,,,False
app_065,543b9e87fc03f674ef8d50b7b90badcc1d5f904fdda68f0a61b636da25faad7c,30-34,10.60.248.0,ccd73e6a19fde0e6a5a699c7c9c484bcf29178e47dc83d293e95f2c32a25a191,"[{'category': 'Rent', 'amount': 841}, {'category': 'Healthcare', 'amount': 433}, {'category': 'Insurance', 'amount': 836}]",,Female,10070.0,109000.0,41.0,0.37,30645.0,False,algorithm_risk_score,,,,False
app_066,166eb4d71627351fa7345744ee6b111857702cd87f2e0da0b5a553c1c208d2f9,25-29,172.16.242.0,170ecf61e7f9f87caffbb81ee0e989bada534e2f537eac4fdd947faa7b770b7f,"[{'category': 'Insurance', 'amount': 531}]",,Female,90214.0,28000.0,20.0,0.36,11680.0,False,algorithm_risk_score,,,,False
app_067,8ddac0b4f21226d083837c2dddbdfa4b9ad280ff93e1d2aa1f8b39165727b181,25-29,192.168.141.0,c0fd9d3fe0216056835bd4704bf86bccad44f32b701438cfd4efacf82a0f93ad,"[{'category': 'Utilities', 'amount': 186}]",,Male,10031.0,39000.0,36.0,0.37,10486.0,True,,,4.3,56000.0,False
app_068,986567e9ea87876c4bb13cbc54d6c77db6114be05c13fa3480a9c3bbfbc30349,30-34,172.19.231.0,,"[{'category': 'Healthcare', 'amount': 577}, {'category': 'Utilities', 'amount': 188}]",,Female,90282.0,75000.0,30.0,0.31,40791.0,True,,,4.9,20000.0,False
app_069,d3650c9b9954730cfd49066815b5defec797db1de38b1d09b210766308bc4f32,60-64,192.168.98.0,cbf219b7488f887d73212897e367b88e7036f1742ee9522c8b1d52cceeaf3faa,"[{'category': 'Entertainment', 'amount': 540}]",,Female,90237.0,98000.0,93.0,0.25,11645.0,False,algorithm_risk_score,,,,False
app_070,ac5085a62172129e1520aef2f954c97d02153b182ee3d1ac14732440e04ff948,45-49,172.22.141.0,592d0fa11623a2300c0949313a27c42abd61815f092b9424b8350ede7463f6bd,"[{'category': 'Dining', 'amount': 168}]",,Female,90292.0,121000.0,59.0,0.43,24655.0,False,algorithm_risk_score,,,,False
app_071,b361d30f351806fe65e7b62561609de9d06affb8caf567f4d0bc7559bccfea86,45-49,192.168.24.0,3515dc6a695da8313016f6fa4fb6fe1ada183e647b355d8744d81e8a2c068f49,"[{'category': 'Utilities', 'amount': 719}, {'category': 'Rent', 'amount': 877}]",,Female,90208.0,134000.0,69.0,0.07,72178.0,True,,,3.8,54000.0,False
app_072,f03f3f37e06bc1b321d29818d579f4228a46b131f81667db79d00a7d6f57130b,25-29,172.23.107.0,137ca2101c7a24853194293e0d9c2464a5f0fd88efd2c21a5fe886b2e8422ffe,"[{'category': 'Travel', 'amount': 388}]",,Female,30044.0,65000.0,20.0,0.28,19076.0,False,insufficient_credit_history,,,,False
app_073,2b4526b2a7cb87f319b9d750f3943edd40530c132790d6ea994c7ca9be237dc0,40-44,10.4.117.0,963a7446ad61d553b82cbc6e73ae169ed62bfa70a80d8a33c069fec3b209e767,"[{'category': 'Transportation', 'amount': 518}, {'category': 'Education', 'amount': 511}]",,Female,90252.0,97000.0,60.0,0.08,30412.0,True,,,4.8,51000.0,False
app_074,4b880d6e45924c2ad68fda5acfa0d12382de844c3b638644137638f5d2865642,25-29,192.168.22.0,4478b0f18dfa1702fc019ea22cfc289b64acf916215091c29069761143aab801,"[{'category': 'Rent', 'amount': 517}, {'category': 'Alcohol', 'amount': 194}]",,Male,10033.0,39000.0,82.0,0.19,12904.0,False,low_income,,,,False
app_075,,,,,"[{'category': 'Shopping', 'amount': 121}, {'category': 'Transportation', 'amount': 59}, {'category': 'Entertainment', 'amount': 882}]",,,,61000.0,29.0,0.15,25894.0,True,,,5.1,22000.0,False
app_076,40bf2809892d510e6825732388d2508309fffd0ea787db7b46b00a72f9811182,35-39,172.27.159.0,1906d81cd77670a6378ce0e50bce416c10c25a15f99c97a7fa4eca419554e3b3,"[{'category': 'Utilities', 'amount': 801}]",,Female,90285.0,66000.0,35.0,0.43,13607.0,False,insufficient_credit_history,,,,False
app_077,c788727f1783511b78039504b0fbf24cb2007d59ce7223fd0bfcaad192dcb300,30-34,172.19.144.0,992d859ea15c189d26ac15e148ba4df74607c6d0193809ac500160f1c67b80c1,"[{'category': 'Transportation', 'amount': 878}]",,Female,90275.0,86000.0,27.0,0.15,41449.0,False,algorithm_risk_score,,,,False
